"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.794938842E0,-3.779425919E-1,1.208810806E0,-1.476630270E-1
5.824931474E0,-6.099213362E-1,1.479027748E0,2.500663698E-1
5.854924106E0,-6.444182396E-1,1.396810532E0,5.063920021E-1
5.884916804E0,-5.057764649E-1,1.110270500E0,4.338386059E-1
5.914909403E0,-3.117318153E-1,7.670917511E-1,1.419737935E-1
5.944902168E0,-9.609918296E-2,3.640937805E-1,-2.800885737E-1
5.974894866E0,1.109817624E-2,3.142738342E-2,-5.684027672E-1
6.004887498E0,2.392879128E-2,-1.315927505E-1,-6.150673628E-1
6.034880196E0,-4.598411918E-2,-4.104766846E-1,-2.511145473E-1
6.064872894E0,-1.032258421E-1,-5.992498398E-1,1.838379800E-1
6.094865526E0,-1.079927534E-1,-7.480964661E-1,3.830707371E-1
6.124858224E0,-8.224347234E-2,-1.010726929E0,2.238546461E-1
6.154850922E0,-5.209222436E-2,-1.094613075E0,-1.117411554E-1
6.184843554E0,1.151268184E-2,-1.143746376E0,-7.279531360E-1
6.214836252E0,5.120705068E-2,-1.073005676E0,-9.311074018E-1
6.244828851E0,7.080139220E-2,-8.442859650E-1,-7.388439178E-1
6.274821516E0,8.275412023E-2,-6.154203415E-1,-3.548044264E-1
6.304814214E0,5.781981349E-2,-3.640918732E-1,1.186367869E-2
6.334806879E0,6.181150675E-2,-2.272577286E-1,5.595541000E-2
6.364799544E0,1.509484649E-2,9.703350067E-2,-2.283925116E-1
6.394792242E0,-7.885187864E-3,2.919273376E-1,-6.138300300E-1
6.424784907E0,-8.160501719E-3,4.642505646E-1,-9.250001907E-1
6.454777572E0,-8.399590850E-3,5.420837402E-1,-9.613114595E-1
6.484770270E0,3.713943064E-2,5.893211365E-1,-6.972898245E-1
6.514762969E0,4.485270381E-2,5.918855667E-1,-3.724669218E-1
6.544755634E0,1.852504909E-2,5.702867508E-1,4.892281443E-2
6.574748299E0,3.048941493E-3,5.705480576E-1,1.448455453E-1
6.604740964E0,-1.662452519E-2,4.099512100E-1,-3.899119049E-2
6.634733662E0,-3.528594971E-5,2.128152847E-1,-3.153190017E-1
6.664726327E0,3.663372993E-2,5.595016479E-2,-4.981670380E-1
6.694718992E0,8.127404004E-2,-1.662607193E-1,-5.437843204E-1
6.724711690E0,4.810820520E-2,-3.944215775E-1,-2.045536637E-1
6.754704355E0,-5.743359029E-2,-4.593448639E-1,1.898432821E-1
6.784697054E0,-1.647033542E-1,-4.502639771E-1,4.887132049E-1
6.814689719E0,-2.542888224E-1,-4.644021988E-1,4.848346114E-1
6.844682384E0,-1.945381463E-1,-5.307617188E-1,2.555779815E-1
6.874675049E0,-1.290191710E-1,-5.575942993E-1,4.073737934E-2
6.904667747E0,1.195371151E-4,-6.499691010E-1,-1.785275191E-1
6.934660379E0,4.770278931E-3,-5.855445862E-1,-6.461539119E-2
6.964653044E0,-6.055501103E-2,-4.801006317E-1,1.336092800E-1
6.994645742E0,-2.972685993E-1,-1.617918015E-1,4.686539471E-1
7.024638374E0,-4.577180743E-1,7.760524750E-2,5.678430796E-1
7.054631072E0,-5.084227324E-1,2.230691910E-1,4.333329797E-1
7.084623771E0,-3.979725242E-1,2.477064133E-1,1.905916929E-1
7.114616403E0,-2.169393152E-1,1.797771454E-1,-2.486446500E-2
7.144609101E0,-3.150996566E-2,1.250257492E-1,-9.911826253E-2
7.174601799E0,-6.704390049E-3,1.212491989E-1,2.100186422E-3
7.204594431E0,-1.187619865E-1,2.086477280E-1,2.316507101E-1
7.234587129E0,-3.130379915E-1,3.208475113E-1,3.787036538E-1
